COMUNA 1 POPULAR;118
COMUNA 10 LA CANDELARIA;312
COMUNA 11 LAURELES;168
COMUNA 12 LA AMERICA;164
COMUNA 13 SAN JAVIER;110
COMUNA 14 EL POBLADO;67
COMUNA 15 GUAYABAL;102
COMUNA 16 BELEN;252
COMUNA 2 SANTA CRUZ;191
COMUNA 3 MANRIQUE;230
COMUNA 4 ARANJUEZ;220
COMUNA 5 CASTILLA;234
COMUNA 6 DOCE DE OCTUBRE;225
COMUNA 7 ROBLEDO;323
COMUNA 8 VILLA HERMOSA;170
COMUNA 9 BUENOS AIRES;239
CORR.  SAN ANTONIO DE PRADO;49
CORREGIMIENTO ALTAVISTA;15
CORREGIMIENTO PALMITAS;27
CORREGIMIENTO SAN CRISTOBAL;64
CORREGIMIENTO SANTA ELENA;14
NACIONAL;77
